[2026-06-28T09:25:00.850+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-28T09:25:01.133+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: weather_daily_dag.quality_checks manual__2026-06-28T09:06:44.373093+00:00 [queued]>
[2026-06-28T09:25:01.145+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: weather_daily_dag.quality_checks manual__2026-06-28T09:06:44.373093+00:00 [queued]>
[2026-06-28T09:25:01.145+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 4
[2026-06-28T09:25:01.166+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): quality_checks> on 2026-06-28 09:06:44.373093+00:00
[2026-06-28T09:25:01.184+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=192) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2026-06-28T09:25:01.188+0000] {standard_task_runner.py:63} INFO - Started process 194 to run task
[2026-06-28T09:25:01.186+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'weather_daily_dag', 'quality_checks', 'manual__2026-06-28T09:06:44.373093+00:00', '--job-id', '55', '--raw', '--subdir', 'DAGS_FOLDER/weather_etl_dag.py', '--cfg-path', '/tmp/tmpy35788w0']
[2026-06-28T09:25:01.190+0000] {standard_task_runner.py:91} INFO - Job 55: Subtask quality_checks
[2026-06-28T09:25:01.256+0000] {task_command.py:426} INFO - Running <TaskInstance: weather_daily_dag.quality_checks manual__2026-06-28T09:06:44.373093+00:00 [running]> on host ef3b95b0c88e
[2026-06-28T09:25:01.393+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='elia' AIRFLOW_CTX_DAG_ID='weather_daily_dag' AIRFLOW_CTX_TASK_ID='quality_checks' AIRFLOW_CTX_EXECUTION_DATE='2026-06-28T09:06:44.373093+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-28T09:06:44.373093+00:00'
[2026-06-28T09:25:01.397+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-28T09:25:01.500+0000] {logging_mixin.py:188} INFO - [quality] 17759 entrées à vérifier
[2026-06-28T09:25:01.509+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.900 | location=1
[2026-06-28T09:25:01.527+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.700 | location=1
[2026-06-28T09:25:01.531+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.100 | location=1
[2026-06-28T09:25:01.534+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.700 | location=1
[2026-06-28T09:25:01.540+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.400 | location=1
[2026-06-28T09:25:01.544+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.200 | location=1
[2026-06-28T09:25:01.547+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.300 | location=1
[2026-06-28T09:25:01.548+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.900 | location=1
[2026-06-28T09:25:01.552+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=884.500 | location=1
[2026-06-28T09:25:01.553+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=885.600 | location=1
[2026-06-28T09:25:01.554+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=885.800 | location=1
[2026-06-28T09:25:01.556+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=885.700 | location=1
[2026-06-28T09:25:01.558+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=885.200 | location=1
[2026-06-28T09:25:01.561+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=884.500 | location=1
[2026-06-28T09:25:01.565+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.900 | location=1
[2026-06-28T09:25:01.567+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.500 | location=1
[2026-06-28T09:25:01.569+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.400 | location=1
[2026-06-28T09:25:01.570+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.100 | location=1
[2026-06-28T09:25:01.579+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.000 | location=1
