[2026-06-28T16:13:43.769+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-28T16:13:43.822+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: weather_daily_dag.quality_checks scheduled__2026-06-27T00:00:00+00:00 [queued]>
[2026-06-28T16:13:43.831+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: weather_daily_dag.quality_checks scheduled__2026-06-27T00:00:00+00:00 [queued]>
[2026-06-28T16:13:43.831+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 4
[2026-06-28T16:13:43.846+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): quality_checks> on 2026-06-27 00:00:00+00:00
[2026-06-28T16:13:43.864+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=229) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2026-06-28T16:13:43.867+0000] {standard_task_runner.py:63} INFO - Started process 233 to run task
[2026-06-28T16:13:43.869+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'weather_daily_dag', 'quality_checks', 'scheduled__2026-06-27T00:00:00+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/weather_etl_dag.py', '--cfg-path', '/tmp/tmpqq8x_0ha']
[2026-06-28T16:13:43.873+0000] {standard_task_runner.py:91} INFO - Job 12: Subtask quality_checks
[2026-06-28T16:13:44.059+0000] {task_command.py:426} INFO - Running <TaskInstance: weather_daily_dag.quality_checks scheduled__2026-06-27T00:00:00+00:00 [running]> on host c186915320bd
[2026-06-28T16:13:44.426+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='elia' AIRFLOW_CTX_DAG_ID='weather_daily_dag' AIRFLOW_CTX_TASK_ID='quality_checks' AIRFLOW_CTX_EXECUTION_DATE='2026-06-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-27T00:00:00+00:00'
[2026-06-28T16:13:44.431+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-28T16:13:44.513+0000] {logging_mixin.py:188} INFO - [quality] 15246 entrées à vérifier
[2026-06-28T16:13:44.516+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.900 | location=1
[2026-06-28T16:13:44.519+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.700 | location=1
[2026-06-28T16:13:44.521+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=883.100 | location=1
[2026-06-28T16:13:44.526+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.700 | location=1
[2026-06-28T16:13:44.528+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.400 | location=1
[2026-06-28T16:13:44.530+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.200 | location=1
[2026-06-28T16:13:44.532+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.300 | location=1
[2026-06-28T16:13:44.534+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=882.900 | location=1
[2026-06-28T16:13:44.536+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=884.500 | location=1
[2026-06-28T16:13:44.538+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=885.600 | location=1
[2026-06-28T16:13:44.539+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=885.800 | location=1
[2026-06-28T16:13:44.543+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=858.200 | location=2
[2026-06-28T16:13:44.547+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=858.000 | location=2
[2026-06-28T16:13:44.549+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=857.300 | location=2
[2026-06-28T16:13:44.551+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=857.100 | location=2
[2026-06-28T16:13:44.552+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=857.000 | location=2
[2026-06-28T16:13:44.556+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.800 | location=2
[2026-06-28T16:13:44.560+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=855.800 | location=2
[2026-06-28T16:13:44.563+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.000 | location=2
